ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   COORD-COOR1,   COORD-COOR2,   COORD-COOR3,       S-Mises
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1279,   20.0000E-03,  -400.000E-03,            0.,NA,NA,"",   20.0000E-03,  -400.000E-03,            0.,   611.698E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1278,   20.0000E-03,  -350.000E-03,            0.,NA,NA,"",   20.0000E-03,  -350.000E-03,            0.,   447.884E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1277,   20.0000E-03,  -300.000E-03,            0.,NA,NA,"",   20.0000E-03,  -300.000E-03,            0.,   307.688E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1276,   20.0000E-03,     -250.E-03,            0.,NA,NA,"",   20.0000E-03,     -250.E-03,            0.,   238.239E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1275,   20.0000E-03,  -200.000E-03,            0.,NA,NA,"",   20.0000E-03,  -200.000E-03,            0.,   270.237E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1274,   20.0000E-03,  -150.000E-03,            0.,NA,NA,"",   20.0000E-03,  -150.000E-03,            0.,   385.922E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1273,   20.0000E-03,  -100.000E-03,            0.,NA,NA,"",   20.0000E-03,  -100.000E-03,            0.,   534.044E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1272,   20.0000E-03,  -50.0000E-03,            0.,NA,NA,"",   20.0000E-03,  -50.0000E-03,            0.,   691.277E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1271,   20.0000E-03,            0.,            0.,NA,NA,"",   20.0000E-03,            0.,            0.,   770.704E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1270,   20.0000E-03,   50.0000E-03,            0.,NA,NA,"",   20.0000E-03,   50.0000E-03,            0.,   691.277E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1269,   20.0000E-03,   100.000E-03,            0.,NA,NA,"",   20.0000E-03,   100.000E-03,            0.,   534.044E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1268,   20.0000E-03,   150.000E-03,            0.,NA,NA,"",   20.0000E-03,   150.000E-03,            0.,   385.922E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1267,   20.0000E-03,   200.000E-03,            0.,NA,NA,"",   20.0000E-03,   200.000E-03,            0.,   270.237E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1266,   20.0000E-03,      250.E-03,            0.,NA,NA,"",   20.0000E-03,      250.E-03,            0.,   238.239E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1265,   20.0000E-03,   300.000E-03,            0.,NA,NA,"",   20.0000E-03,   300.000E-03,            0.,   307.688E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1264,   20.0000E-03,   350.000E-03,            0.,NA,NA,"",   20.0000E-03,   350.000E-03,            0.,   447.884E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1263,   20.0000E-03,   400.000E-03,            0.,NA,NA,"",   20.0000E-03,   400.000E-03,            0.,   611.698E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1262,   20.0000E-03,   450.000E-03,            0.,NA,NA,"",   20.0000E-03,   450.000E-03,            0.,   795.814E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          1261,   20.0000E-03,      500.E-03,            0.,NA,NA,"",   20.0000E-03,      500.E-03,            0.,   900.236E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2561,  -20.0000E-03,  -450.000E-03,            0.,NA,NA,"",  -20.0000E-03,  -450.000E-03,            0.,   795.814E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2521,  -20.0000E-03,      500.E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,      500.E-03,   50.0000E-03,   897.967E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2522,  -20.0000E-03,   450.000E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,   450.000E-03,   50.0000E-03,   793.408E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2523,  -20.0000E-03,   400.000E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,   400.000E-03,   50.0000E-03,   608.905E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2524,  -20.0000E-03,   350.000E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,   350.000E-03,   50.0000E-03,   435.114E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2525,  -20.0000E-03,   300.000E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,   300.000E-03,   50.0000E-03,   272.669E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2526,  -20.0000E-03,      250.E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,      250.E-03,   50.0000E-03,   195.710E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2527,  -20.0000E-03,   200.000E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,   200.000E-03,   50.0000E-03,   252.650E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2528,  -20.0000E-03,   150.000E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,   150.000E-03,   50.0000E-03,   403.293E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2529,  -20.0000E-03,   100.000E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,   100.000E-03,   50.0000E-03,   578.122E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2530,  -20.0000E-03,   50.0000E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,   50.0000E-03,   50.0000E-03,   753.697E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2531,  -20.0000E-03,            0.,   50.0000E-03,NA,NA,"",  -20.0000E-03,            0.,   50.0000E-03,   839.787E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2532,  -20.0000E-03,  -50.0000E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,  -50.0000E-03,   50.0000E-03,   753.697E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2533,  -20.0000E-03,  -100.000E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,  -100.000E-03,   50.0000E-03,   578.122E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2534,  -20.0000E-03,  -150.000E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,  -150.000E-03,   50.0000E-03,   403.293E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2535,  -20.0000E-03,  -200.000E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,  -200.000E-03,   50.0000E-03,   252.650E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2536,  -20.0000E-03,     -250.E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,     -250.E-03,   50.0000E-03,   195.710E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2537,  -20.0000E-03,  -300.000E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,  -300.000E-03,   50.0000E-03,   272.669E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2538,  -20.0000E-03,  -350.000E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,  -350.000E-03,   50.0000E-03,   435.114E-03
C:/Users/touze/project/Shear_centre/strip/Job-1.odb,loading,Increment      1: Step Time =    1.000,"PART-1-1",          2539,  -20.0000E-03,  -400.000E-03,   50.0000E-03,NA,NA,"",  -20.0000E-03,  -400.000E-03,   50.0000E-03,   608.905E-03
